Words,label
Kutta,1
Bodmaish,1
Idiot,1
Rubbish,1
Mair khabi,1
ei bokachoda,1
bainchod,1
khankir pola,1
motherchod,1
amre chinos,1
jutar bari,1
you are hot,1
shoytan,1
kelani chinos,1
laura,1
bal,1
tui ay khali ,1
shuworer baccha,1
fuck,1
bitch,1
bloddy fool,1
holy fuck,1
behenchod,1
may re bap,1
kya pose hai,1
aur dekhao,1
puja the gangubhai,1
uff jaan,1
purai agun,1
richin,0
okaloti kora,0
plead for,0
assign to,0
bid fair,0
queer go,0
odvuto bepar,0
interest,0
opportunity,0
van,0
enjoyment,0
development,0
growth,0
blessing,0
blossom,0
betterment,0
upswing,0
soft,0
likely,0
glad,0
jutar bari,1
you are hot,1
shoytan,1
kelani chinos,1
laura,1
bal,1
pleasent,0
merry,0
face to face,0
by the way,0
Emergency,0
call me,0
i know,0
goodbye,0
Gotta go,0
just kidding,0
eger,0
efficient,0
effortless,0
elegant,0
eloquent,0
Kutta,1
Bodmaish,1
Idiot,1
Rubbish,1
Mair khabi,1
powerful,0
precious,0
pride,0
proactive,0
professional,0
profound,0
prompt,0
puntucal,0
qualified,0
quiet,0
racy,0
realistic,0
refined,0
relaxed,0
remarkable,0
resolute,0
respectful,0
responsible,0
rebust,0
safe,0
satisfied,0
secure,0
insecure,0
seductive,0
self depended,0
self determination,0
sensational,0
sense of humor,0
senstive,0
sensible,0
sensuous,0
skilful,0
sincere,0
skilled,0
smart,0
smooth,0
sociable,0
self consciousness,0
solif,0
sparkling,0
sophisticated,0
special,0
spontaneous,0
stable,0
strong,0
stunning,0
sucessful,0
super,0
surprised,0
superb,0
tactful,0
thankful,0
thrilling,0
timely,0
tolerant,0
traditional,0
trust,0
trustworthy,0
truthful,0
ultimate,0
unbelievable,0
unihabited,0
unique,0
unselfish,0
valuable,0
versatile,0
victorious,0
vigorous,0
vivid,0
warm,0
wealthy,0
well,0
whole,0
wise,0
witty,0
integrity,0
wonderful,0
youthful,0
veritable,0
zest,0
abge,0
jor,0
gurutto,0
joruri,0
dhongsho,0
chay,0
chaya,0
cabi,0
sumodhur,0
obogga,0
prokash,0
disinter,0
emphasis,0
emotion,0
emergency,0
composer,0
interlude,0
bohot accha,0
lakshmi ladki,0
adbhut,0
abal,1
chagoler tin no baccha,1
kuddus boyati,1
akash vora tara,1
khela hobe,1
batpar,1
neribadi,1
scandal,1
etai science,1
third class,1
mahatvapoorn,0
mahaan,0
kuchh,0
baith jao,0
pyaar,0
zamana,0
samdandh,0
kathor parishram,0
aakarshak,0
sundar,0
Kutta,1
Bodmaish,1
Idiot,1
Rubbish,1
Mair khabi,1
ei bokachoda,1
bainchod,1
khankir pola,1
motherchod,1
amre chinos,1
dil ,0
zindegi,0
bandegi,0
sajda,0
ladka,0
fasana,0
maut,0
achaanak,0
kotto cute,0
what a smile,0
nosta,1
nongra,1
matari,1
halarput,1
dalal,1
ganjakhor,1
nari lovi,1
vatar,1
chodanir poa,1
sudir vai,1
crush,0
looking gorgeous,0
lal pori,0
simple,0
agun,0
aesthetic,0
queen,0
my princes,0
naika,0
wow,0
monomughdhokor,0
poripurnota,0
alhamdulillah,0
shukriya,0
darling,0
pordashil,0
heartbreaking,0
beauty queen,0
hero ,0
shuvessa,0
dhemnamo,1
chodani,1
chodna,1
achuda,1
ami tor maa k chudmu,1
tor mayre chudi,1
boltu chire felbo,1
dhon khecha,1
gaand marano,1
lehr khawar baccha,1
naang,1
putki,1
shetar bal,1
shewar bal,1
sutmarani,1
vuuski maagi,1
shuorer naati,1
jhata khaika,1
chenchra,1
shoitaner baccha,1
kutni buri,1
kutni mashi,1
ghute kurani,1
chutiya,1
chutmarani,1
mukh puri,1
gaach bolod,1
kelani khabi,1
chaap nis na mama,1
aatel marka,1
chhatar matha,1
khisti,1
tel mekhe tor mukhe hege dibo,1
tumaar bichi fulko luchi,1
tumi manush na bandorer beechi,1
maarbo kaane bajbo dhone,1
tumio ekta manush telapokao ekta pakhi,1
pode nei cham horekrishno naam,1
maarbo ekhane laash porbe shoshane,1
ei bokachoda,1
bainchod,1
khankir pola,1
motherchod,1
amre chinos,1
boidi vab,1
khasa magi,1
pussy,1
chusbo,1
potita,1
aso khela hobe,1
uff kije lagse,1
horines king,1
kheye dibo,1
astagfirullah,0
netri,0
aapako kaamayaabee mile,0
aanand,0
aashcharyajanak,0
amooly,0
shreshth,0
soch,0
prashansaneey,0
falak,0
badal ke sang,0
hasita shundor,0
misti aputa,0
pakhita,0
big fan,0
my pleasure,0
best wishes,0
great advise,0
very inspiring,0
really like you,0
good luck ,0
great idea,0
bideshini,0
sharite nari,0
cool,0
chance,0
profit,0
service,0
advantage,0
behalf,0
kind,0
religious,0
virtuous,0
true hearted,0
holy,0
tui ay khali ,1
shuworer baccha,1
fuck,1
bitch,1
bloddy fool,1
holy fuck,1
behenchod,1
may re bap,1
kya pose hai,1
aur dekhao,1
puja the gangubhai,1
uff jaan,1
purai agun,1
eger,0
efficient,0
effortless,0
elegant,0
eloquent,0
moral,0
nitiban,0
honest,0
value,0
worth,0
operative,0
sukriti,0
grace,0
excellence,0
fortune,0
ethics,0
banchode,1
gandu,1
gud marani,1
bara,1
gnaar mara,1
baal cherh,1
boye gece,1
ghonta korba,1
gondogol,1
jaa-tah,1
keblakanto,1
pagol hoye gece,1
le halua,1
khete dile shute chaay,1
pond poka,1
kuttar fuwa,1
shauwa marauna,1
hetar ghore heta,1
kurkurani,1
halar ghorer hala,1
fresh,0
joss,0
like a doll,0
chashmish,0
angle,0
sweetheart,0
natural beauty,0
damn cute,0
darun,0
attractive,0
different look,0
oshadharon,0
keep up,0
chaliye jao,0
sakun,0
maherun,0
chahat,0
harsh,0
khush raho,0
madhoshiyan,0
bhula do,0
mehbooba,0
ishq,0
monalisa ,0
safal hona,0
kabhi kabhi,0
onek shorol,0
bondhuttopurno,0
durlov chobi,0
insaan,0
astounding,0
little girl,0
stunning,0
nikhut,0
snehomoy,0
too perfect,0
beautiful eyes,0
nadan,0
nazariya,0
mushkil,0
brightening ,0
pakadne,0
valoabshay vora,0
boundaries,0
rod jholmol ,0
rockstar,0
impressive,0
confident,0
mughdho,0
shundore protik,0
hashikhushi,0
killer,0
fearless,0
courageous ,0
shocchosachi,0
boddo shundor,0
galti,0
proud of,0
stronghod ,0
romantic,0
danakata pori,0
chokh shore na,0
keep shinning ,0
vabpurno chobi,0
preyoshi,0
chader moto,0
cup of tea,0
opurbo,0
ekgheyemi,0
nilpakhi,0
vision eka,0
khub kosto,0
say sorry,0
buddy,0
fan followers,0
pehla pyar,0
meghe vasa bristy,0
innocent look,0
trending look,0
dosti,0
boinga,1
purai pankha,1
lyadha khor,1
pechon paka,1
amar matha tomar mundu,1
hate harican,1
gamla,1
khepa,1
kyabla,1
hangla,1
boka choda,1
lawra,1
banglish,1
pachha,1
chinal,1
nunu,1
kochi khoka,1
laorachoda,1
bangla traen,1
kaal nagini,1
rajakar,1
cringe,1
gay,1
nikuchi koreche,1
pagol na matha kharap,1
ahammok,1
bojjat,1
bekub,1
vulgar,1
ashiq,1
baandi,1
bhuski maagi,1
gud maranir beta,1
khobis,1
cool,0
chance,0
profit,0
service,0
advantage,0
behalf,0
kind,0
religious,0
virtuous,0
true hearted,0
moga,1
podmarani,1
whore,1
putki mara kha,1
wanna kiss,1
lathi khais na,1
thappor khabi,1
ay tore chumma dei,1
behenchod,1
hala,1
blacksheep,1
so hot,1
bad buz,1
pachay lathi,1
piss off,1
psycho,1
matha gorom,1
pagla,1
look like a pornster,1
buddhi,1
hay garmi,1
sauwa,1
wow sexy,1
aunty ji,1
hotness,1
thoda or dekhao,1
what a sexy ,1
vc service,1
uff her armpits,1
bogol sacha,1
banglar sunny leone,1
deshi maal,1
oslilotai vorpur,1
tumar navita khub sundor,1
sexy blonde,1
uff biyaotta malta,1
mg,1
looking sexy in bustier,1
besha abar model,1
very small,1
bollywood swag,1
public property,1
kochi dudh,1
sexy boops,1
amakao dadu dhakaba,1
roshe vora,1
empathetic,0
endless,0
energetic,0
exciting,0
fair minded,0
faithful,0
fantastic,0
farewell,0
fit,0
boidi vab,1
khasa magi,1
pussy,1
chusbo,1
potita,1
aso khela hobe,1
uff kije lagse,1
horines king,1
kheye dibo,1
richin,0
okaloti kora,0
plead for,0
assign to,0
bid fair,0
queer go,0
odvuto bepar,0
interest,0
opportunity,0
van,0
banchode,1
gandu,1
gud marani,1
bara,1
gnaar mara,1
baal cherh,1
boye gece,1
ghonta korba,1
gondogol,1
jaa-tah,1
keblakanto,1
pagol hoye gece,1
le halua,1
khete dile shute chaay,1
pond poka,1
kuttar fuwa,1
shauwa marauna,1
hetar ghore heta,1
kurkurani,1
halar ghorer hala,1
crush,0
looking gorgeous,0
lal pori,0
simple,0
agun,0
aesthetic,0
queen,0
my princes,0
naika,0
wow,0
monomughdhokor,0
poripurnota,0
alhamdulillah,0
shukriya,0
darling,0
pordashil,0
heartbreaking,0
beauty queen,0
hero ,0
shuvessa,0
chol pat khete jai,1
oshovbbo,1
ustha khabi,1
bosti,1
thu mari,1
dustbin ekta,1
muri kha,1
moira ja,1
bastard,1
chutiya,1
moral,0
nitiban,0
honest,0
value,0
worth,0
operative,0
sukriti,0
grace,0
excellence,0
fortune,0
ethics,0
suck,1
ass,1
damn,1
horny,1
chete dei,1
fuck you baby,1
tor mayre ,1
motku,1
motu,1
hati,1
khassorni,1
pedani khabi,1
tor mayer leura,1
magi,1
satchunni,1
ay liton ar flate,1
madarchod,1
khobish,1
bloddy bitch,1
bloody fool,1
fucking bitch,1
pleasent,0
merry,0
face to face,0
by the way,0
Emergency,0
call me,0
i know,0
goodbye,0
Gotta go,0
just kidding,0
chol pat khete jai,1
oshovbbo,1
ustha khabi,1
bosti,1
thu mari,1
dustbin ekta,1
muri kha,1
moira ja,1
bastard,1
chutiya,1
empathetic,0
endless,0
energetic,0
exciting,0
fair minded,0
faithful,0
fantastic,0
farewell,0
fit,0
boinga,1
purai pankha,1
lyadha khor,1
pechon paka,1
amar matha tomar mundu,1
hate harican,1
gamla,1
khepa,1
kyabla,1
hangla,1
boka choda,1
lawra,1
banglish,1
pachha,1
chinal,1
nunu,1
kochi khoka,1
laorachoda,1
bangla traen,1
kaal nagini,1
committed,0
confident,0
conscious,0
cooperative,0
courage,0
creative,0
delight,0
delicious,0
dazzling,0
diplomatic,0
chance,0
profit,0
service,0
advantage,0
behalf,0
kind,0
religious,0
virtuous,0
true hearted,0
holy,0
suck,1
ass,1
damn,1
horny,1
chete dei,1
fuck you baby,1
tor mayre ,1
motku,1
motu,1
hati,1
flexible,0
flourshing,0
friendliness,0
friendly,0
funny,0
gentle,0
genuine,0
glowing,0
listener,0
natural,0
boinga,1
purai pankha,1
lyadha khor,1
pechon paka,1
amar matha tomar mundu,1
hate harican,1
gamla,1
khepa,1
kyabla,1
hangla,1
boka choda,1
lawra,1
banglish,1
pachha,1
chinal,1
nunu,1
kochi khoka,1
laorachoda,1
bangla traen,1
kaal nagini,1
cuteness overload,0
elegant ,0
mongoljatra,0
challenges ,0
chal meri vai,0
purnomorjada,0
hey sweety,0
come on,0
dilbar,0
janeman,0
badhi mushkil,0
kangna ,0
mere yaade,0
remember,0
don't mind,0
are you mad,0
you gonna crazy,0
have a look,0
say something,0
kuch bolo,0
mera dil,0
josnarat,0
moonlight,0
honeymoon,0
pyari hain,0
acchi hoon,0
look behind,0
interesting ,0
mash up,0
shoktishali,0
shaheb,0
excuse me,0
edike ashen,0
kotha bolo,0
bad dao,0
go ahead ,0
leave me ,0
keep quiet,0
calm down,0
shut up,0
tremandous,0
keep going,0
cheer up,0
shuvo kamona roilo,0
sundori apu,0
love you bro,0
ordinary dressup,0
etao ekta art,0
somvob hobe,0
apni parben,0
tumi parbe,0
wow nice sceen,0
nice place,0
faltu actress,1
goriber dipika,1
nongra mohila,1
baki gula khule dao dekhi,1
nongra bedi,1
 mittuk mohila,1
raster bedi,1
khela suru,1
puru team ar sathe sute jaba,1
behaiya,1
kheye diso,1
hat dhore kochlakochli ,1
makhamakhi ,1
acho***da polapain,1
chorittre pochon dorse,1
durgondhon choraccen,1
kapor khulle upore uthben,1
fajil maye,1
gadha,1
suyor,1
committed,0
confident,0
conscious,0
cooperative,0
courage,0
creative,0
delight,0
delicious,0
dazzling,0
diplomatic,0
khassorni,1
pedani khabi,1
tor mayer leura,1
magi,1
satchunni,1
ay liton ar flate,1
madarchod,1
khobish,1
bloddy bitch,1
bloody fool,1
fucking bitch,1
brilliant,0
careful,0
caring,0
cautious,0
centered,0
charming,0
cheerful,0
changeable,0
clear thinking,0
clever,0
sutki,1
liliput,1
vutki,1
hati,1
mair dimu,1
sahos thakle ay,1
buke urna koi,1
moros na kn,1
jahanname jabi,1
bal,1
mira tokta banam,1
buira beti,1
faltu actress,1
goriber dipika,1
putki ta dekha gelo na,1
nosto,1
besha abar model,1
iblish,1
papi,1
boro hosse,1
chacha mia,1
mechine nosto,1
petni,1
sakchunni,1
cunni,1
bedi,1
beda,1
chila murgi,1
bogol kalo,1
mother chod,1
rascal,1
idiot,1
Egula theng na bush,1
kongkal hoye gese,1
tiktiki,1
Chi,1
pun dekhaya lav ki,1
african bang,1
chikni chameli,1
suor,1
etor,1
bitch,1
dog,1
funda,1
dadagiri,1
chamcha,1
enjoyment,0
development,0
growth,0
blessing,0
blossom,0
betterment,0
upswing,0
soft,0
likely,0
glad,0
baccha hati,1
baul,1
chagol,1
vera,1
goru,1
oshobbo,1
fostinosti,1
barovatari,1
patha,1
beraijja,1
flexible,0
flourshing,0
friendliness,0
friendly,0
funny,0
gentle,0
genuine,0
glowing,0
listener,0
natural,0
porokiya,1
kathal jonota,1
mal khor,1
takla murad,1
dhoj vongo nere kukur,1
lompot,1
jongler production,1
kuttar baccha,1
suorer baccha,1
beyara,1
behayapona,1
luiccha,1
ugro,1
manoshik rogi,1
oslil,1
leri kutta,1
graimma sohore asle ja hoy,1
olpo panir mach beshi panite,1
sarcasm,1
sarcus,1
jokar,1
sefuda,1
ganja,1
jatrapal r nortoki,1
bikrito mostisko,1
joghonno,1
bessa,1
Scoundrel,1
daiyush mohila,1
sosta,1
choritra hin,1
ruchi-hin,1
boddha unmad,1
mikribau,1
cream apa,1
sunny leon,1
noti para,1
prostitute,1
goriber alia bhaat,1
goriber nora fatehi,1
come to my bed,1
goriber urfi jabed,1
joker of the year,1
nude,1
nangi,1
psycho,1
shameless,1
nudity,1
mental disorder,1
haramir baccha,1
good looking,0
graceful,0
grand,0
happiness,0
handsome,0
happy,0
hard worker,0
hardy,0
harmonious,0
honest,0
hope,0
ideal,0
humorous,0
incredible,0
informal,0
ingenious,0
innovative,0
inspired,0
intelligent,0
invincible,0
judicious,0
joyous,0
keen,0
leader,0
light hearted,0
likeable,0
limitless,0
literate,0
loveable,0
lucky,0
magical,0
masterful,0
mature,0
modest,0
motivated,0
noble,0
nonjudgemental,0
open minded,0
original,0
outgoing,0
outstanding,0
passionate,0
patient,0
peaceful,0
perceptive,0
perfect,0
personable,0
playful,0
polite,0
political,0
lusty,1
nasty,1
chunking,1
dirty,1
disgusting,1
scandalous,1
unholy,1
nacked,1
fuck of you,1
fuck,1
holy shit,1
nudity,1
shameless lady,1
shameless women,1
nanga,1
handmade beauty,1
bainchod,1
vadaimma,1
vodai,1
haram zada,1
khanki,1
magi,1
noti,1
potita,1
whore,1
slut,1
cunt,1
dhemni,1
motherchod,1
nirlojjo,1
osot,1
itor,1
shuor,1
shaoua,1
hisab bujho na dudu khao,1
porn,1
mutki,1
baitta,1
lombu,1
shutki,1
pornstar,1
hog,1
call girl,1
hooker,1
hustler,1
doxy,1
puta,1
dung,1
dirt,1
harlot,1
hussy,1
bike,1
slag,1
bullshit,1
bastard,1
raskel,1
rubbish,1
janoar,1
idiot,1
ass,1
chotiya,1
go to hell,1
bare,1
what the fuck,1
bloody bitch,1
son of bitch,1
bitch,1
shit,1
she is a crab,1
shameless creature,1
fucking girl,1
nonsense,1
olokkhi,1
asshole,1
airhead,1
arsehole,1
ass-kisser,1
bimboo,1
bugger,1
chicken,1
dag,1
dago,1
deadbeat,1
dickhead,1
donkey,1
dope,1
dweeb,1
dork,1
flake,1
floozy,1
gasbag,1
git,1
goose,1
honkey,1
jerk,1
lardass,1
klutz,1
son of a whore,1
bakchod,1
rendy,1
mahatvapoorn,0
mahaan,0
kuchh,0
baith jao,0
pyaar,0
zamana,0
samdandh,0
kathor parishram,0
aakarshak,0
sundar,0
dil ,0
zindegi,0
bandegi,0
sajda,0
ladka,0
fasana,0
maut,0
achaanak,0
kotto cute,0
what a smile,0
faltu actress,1
goriber dipika,1
nongra mohila,1
baki gula khule dao dekhi,1
nongra bedi,1
 mittuk mohila,1
raster bedi,1
khela suru,1
puru team ar sathe sute jaba,1
behaiya,1
kheye diso,1
hat dhore kochlakochli ,1
makhamakhi ,1
acho***da polapain,1
chorittre pochon dorse,1
durgondhon choraccen,1
kapor khulle upore uthben,1
fajil maye,1
gadha,1
suyor,1
brilliant,0
careful,0
caring,0
cautious,0
centered,0
charming,0
cheerful,0
changeable,0
clear thinking,0
clever,0
baccha hati,1
baul,1
chagol,1
vera,1
goru,1
oshobbo,1
fostinosti,1
barovatari,1
patha,1
beraijja,1
good luck,0
positive,0
satisfactory,0
great,0
exceptional,0
acceptable,0
active,0
adept,0
authentic,0
beaming,0
lusty,1
nasty,1
chunking,1
dirty,1
disgusting,1
scandalous,1
unholy,1
nacked,1
fuck of you,1
fuck,1
holy shit,1
nudity,1
shameless lady,1
shameless women,1
nanga,1
handmade beauty,1
bainchod,1
vadaimma,1
vodai,1
haram zada,1
khanki,1
magi,1
noti,1
potita,1
whore,1
slut,1
cunt,1
dhemni,1
motherchod,1
nirlojjo,1
osot,1
itor,1
shuor,1
shaoua,1
hisab bujho na dudu khao,1
porn,1
mutki,1
baitta,1
lombu,1
shutki,1
pornstar,1
hog,1
call girl,1
hooker,1
hustler,1
doxy,1
puta,1
dung,1
dirt,1
harlot,1
hussy,1
bike,1
slag,1
bullshit,1
bastard,1
raskel,1
rubbish,1
janoar,1
idiot,1
ass,1
chotiya,1
go to hell,1
bare,1
what the fuck,1
bloody bitch,1
son of bitch,1
bitch,1
shit,1
she is a crab,1
shameless creature,1
fucking girl,1
nonsense,1
olokkhi,1
asshole,1
airhead,1
arsehole,1
ass-kisser,1
bimboo,1
bugger,1
chicken,1
dag,1
dago,1
deadbeat,1
dickhead,1
donkey,1
dope,1
dweeb,1
dork,1
flake,1
floozy,1
gasbag,1
git,1
goose,1
honkey,1
jerk,1
lardass,1
klutz,1
